Podcast Name,Episode Title,Episode Summary,Episode Duration,Episode Date,Podcast Image,Episode Audio,Episode Guests,Episode Highlights
History Hit,Battle of Gettysburg,"The first three days of July 1863 saw the bloodiest single battle of the American Civil War. This clash between the Unionist and Confederate armies quickly became the stuff of legend. But what actually happened at Gettysburg? Professor Glenn LaFantasie joins Don for this episode to take us through the key figures in the battle, their strategies and whether this really was the turning point of the Civil War. Produced by Sophie Gee. Edited by Teän Stewart-Murray. Senior Producer was Charlotte Long. Discover the past on History Hit with ad-free original podcasts and documentaries released weekly presented by world-renowned historians like Dan Snow, Suzannah Lipscomb, Lucy Worsley, Matt Lewis, Tristan Hughes and more. Get 50% off your first 3 months with code DANSNOW. Download the app or sign up here. If you want to get in touch with the podcast, you can email us at ds.hh@historyhit.com , we'd love to hear from you! You can take part in our listener survey here . Hosted on Acast. See acast.com/privacy for more information.",39,16/08/2023,https://assets.pippa.io/shows/6215f67d4b795a40fffd3b2c/1692108158639-304fd252015306b05dd8343675de04c4.jpeg,https://sphinx.acast.com/p/acast/s/dansnowshistoryhit/e/64db86ee0fa6eb001182a425/media.mp3?tk=eyJ0ayI6ImRlZmF1bHQiLCJhZHMiOnRydWUsInNwb25zIjp0cnVlLCJzdGF0dXMiOiJwdWJsaWMifQ==&sig=9sJw5phFaBIVQWPKVqLHZ3f1LJfgczZvL9jpiWGd9So,[],[]
History Hit,The Rise of the Taliban,"Is it possible that the Taliban of today are more fanatical than before? American and Coalition troops recently fought a bitter, 20-year war against them following the seismic events of 9/11. On August the 15th we mark the end of that conflict, two years after the last Western troops left Kabul. The withdrawal was chaotic and confused, and left the Taliban in control of Afghanistan. So what does the future of Afghanistan look like? And is the Taliban of today the same as the one that emerged from the Soviet occupation of the 1980s? Dan is joined by journalist and author Ahmed Rashid to discuss the origins, rise and future of the Taliban. Produced by Mariana Des Forges and James Hickmann, and edited by Dougal Patmore. PLEASE VOTE NOW! for Dan Snow's History Hit in the British Podcast Awards Listener's Choice category here . Every vote counts, thank you! Discover the past on History Hit with ad-free original podcasts and documentaries released weekly presented by world renowned historians like Dan Snow, Suzannah Lipscomb, Lucy Worsley, Matt Lewis, Tristan Hughes and more. Get 50% off your first 3 months with code DANSNOW. Download the app or sign up here. If you want to get in touch with the podcast, you can email us at ds.hh@historyhit.com , we'd love to hear from you! You can take part in our listener survey here . Hosted on Acast. See acast.com/privacy for more information.",25,15/08/2023,https://assets.pippa.io/shows/6215f67d4b795a40fffd3b2c/1667286484069-7fc0af1db619130dc8ff794c866b6fa8.jpeg,https://sphinx.acast.com/p/acast/s/dansnowshistoryhit/e/64da09b90fa6eb0011435984/media.mp3?tk=eyJ0ayI6ImRlZmF1bHQiLCJhZHMiOnRydWUsInNwb25zIjp0cnVlLCJzdGF0dXMiOiJwdWJsaWMifQ==&sig=-lPsjPjceBKQl6EoceonqLSjEh2ZOGM6SsbPVxpHTog,[],[]
History Hit,Scottish Clans,"It is believed clans started to emerge in Scotland around 1100AD and were originally the descendants of kings – if not of demigods from Irish mythology. As well as kinship and a sense of identity and belonging, being part of a clan was an important part of survival throughout the centuries that would follow. Scotland’s leading cultural historian, Professor Murray Pittock, joins Dan on the podcast to share the history of the clans from their Celtic origins through to the Clearances and the present day. They discuss the structure of clans, how the system collapsed and the paradox of how global clanship has become today. This episode was produced by Hannah Ward and edited by Dougal Patmore. Discover the past on History Hit with ad-free original podcasts and documentaries released weekly presented by world-renowned historians like Dan Snow, Suzannah Lipscomb, Lucy Worsley, Matt Lewis, Tristan Hughes and more. Get 50% off your first 3 months with code DANSNOW . Download the app or sign up here. PLEASE VOTE NOW! for Dan Snow's History Hit in the British Podcast Awards Listener's Choice category here . Every vote counts, thank you! We'd love to hear from you! You can email the podcast at ds.hh@historyhit.com . You can take part in our listener survey here . Hosted on Acast. See acast.com/privacy for more information.",26,14/08/2023,https://assets.pippa.io/shows/6215f67d4b795a40fffd3b2c/1667286484069-7fc0af1db619130dc8ff794c866b6fa8.jpeg,https://sphinx.acast.com/p/acast/s/dansnowshistoryhit/e/64d6602677fd790011ac3171/media.mp3?tk=eyJ0ayI6ImRlZmF1bHQiLCJhZHMiOnRydWUsInNwb25zIjp0cnVlLCJzdGF0dXMiOiJwdWJsaWMifQ==&sig=PO3iqb2MHpvHXf4c5yhCwh-zALa1REB3WidYA8HTs3M,[],[]
History Hit,Archimedes and the Siege of Syracuse,"Dan tells the story of Archimedes, the ancient Greek inventor whose weapons of war protected the town of Syracuse from a Roman army. The Romans laid siege to Syracuse between 213 and 212 BC, attacking by sea and land, but were repelled by the city's defences. The story goes that these included fantastical devices like the Claw of Archimedes, and a 'Death Ray' that would set ships ablaze. Eventually the stalemate broke and the Romans captured the city, but Archimedes' name would survive through the centuries. So who exactly was Archimedes? Can we believe these tall tales of ancient invention? And why did this siege happen anyway? Dan traces the course of Archimedes' life against the backdrop of the Punic Wars to answer these questions, and more. Produced by Dan Snow and edited by Dougal Patmore. PLEASE VOTE NOW! for Dan Snow's History Hit in the British Podcast Awards Listener's Choice category here . Every vote counts, thank you! Discover the past on History Hit with ad-free original podcasts and documentaries released weekly presented by world renowned historians like Dan Snow, Suzannah Lipscomb, Lucy Worsley, Matt Lewis, Tristan Hughes and more. Get 50% off your first 3 months with code DANSNOW. Download the app or sign up here. If you want to get in touch with the podcast, you can email us at ds.hh@historyhit.com , we'd love to hear from you! You can take part in our listener survey here . PLEASE VOTE NOW! for Dan Snow's History Hit in the British Podcast Awards Listener's Choice category here . Every vote counts, thank you! Hosted on Acast. See acast.com/privacy for more information.",44,12/08/2023,https://assets.pippa.io/shows/6215f67d4b795a40fffd3b2c/1667286484069-7fc0af1db619130dc8ff794c866b6fa8.jpeg,https://sphinx.acast.com/p/acast/s/dansnowshistoryhit/e/64d5f74f7ac4f00011f91418/media.mp3?tk=eyJ0ayI6ImRlZmF1bHQiLCJhZHMiOnRydWUsInNwb25zIjp0cnVlLCJzdGF0dXMiOiJwdWJsaWMifQ==&sig=PyCdHdLV3ZjAfEnGmaUjt8goozHwmdaWMDxRWhHSEyY,[],[]
History Hit,Surviving Hitler and Stalin,"Lord Daniel Finkelstein recounts stories from his parents' remarkable lives. His mother Mirjam Wiener survived the Nazi concentration camps, and his father Ludwik Finkelstein lived through a Soviet gulag. Daniel tells Dan how these remarkable people survived the horrors of both regimes, and imparts some of the lessons that they learnt along the way. Discover the past on History Hit with ad-free original podcasts and documentaries released weekly presented by world-renowned historians like Dan Snow, Suzannah Lipscomb, Lucy Worsley, Matt Lewis, Tristan Hughes and more. Get 50% off your first 3 months with code DANSNOW . Download the app or sign up here. PLEASE VOTE NOW! for Dan Snow's History Hit in the British Podcast Awards Listener's Choice category here . Every vote counts, thank you! We'd love to hear from you! You can email the podcast at ds.hh@historyhit.com . You can take part in our listener survey here . Hosted on Acast. See acast.com/privacy for more information.",37,09/08/2023,https://assets.pippa.io/shows/6215f67d4b795a40fffd3b2c/1667286484069-7fc0af1db619130dc8ff794c866b6fa8.jpeg,https://sphinx.acast.com/p/acast/s/dansnowshistoryhit/e/64d2609baf9a6f001113d4d4/media.mp3?tk=eyJ0ayI6ImRlZmF1bHQiLCJhZHMiOnRydWUsInNwb25zIjp0cnVlLCJzdGF0dXMiOiJwdWJsaWMifQ==&sig=sBfXr4_CTlZdt_r9ypWX5Hw7nlxyTgBJK2JjvHkSl54,[],[]
History Hit,Genghis Khan,"Genghis Khan roughly translates to 'Universal Ruler', a fitting name for the most famous nomadic conqueror to have ever lived. He was born as Temüjin, outcast by his tribe as a young child and left to fend for his family in the wild. But the determined young man would go on to unite the Mongolian clans and through warfare, trade and diplomacy, carve out the largest contiguous land empire to have ever existed. So what did the world that he was born into look like? How did he unite the rival clans, and go on to dominate the 13th century world? In the second episode of this two-part series on nomadic conquerors, Professor Kenneth W. Harl of Tulane University takes us through this remarkable story, and compares Genghis' life with that of Attila. Produced by James Hickmann and edited by Dougal Patmore. PLEASE VOTE NOW! for Dan Snow's History Hit in the British Podcast Awards Listener's Choice category here . Every vote counts, thank you! Discover the past on History Hit with ad-free original podcasts and documentaries released weekly presented by world renowned historians like Dan Snow, Suzannah Lipscomb, Lucy Worsley, Matt Lewis, Tristan Hughes and more. Get 50% off your first 3 months with code DANSNOW. Download the app or sign up here. If you want to get in touch with the podcast, you can email us at ds.hh@historyhit.com , we'd love to hear from you! Hosted on Acast. See acast.com/privacy for more information.",34,08/08/2023,https://assets.pippa.io/shows/6215f67d4b795a40fffd3b2c/1667286484069-7fc0af1db619130dc8ff794c866b6fa8.jpeg,https://sphinx.acast.com/p/acast/s/dansnowshistoryhit/e/64d0b89fa0dbaa00112b5947/media.mp3?tk=eyJ0ayI6ImRlZmF1bHQiLCJhZHMiOnRydWUsInNwb25zIjp0cnVlLCJzdGF0dXMiOiJwdWJsaWMifQ==&sig=ToHAjWdgne5w5ZUjkIZ3E00Z-jh5EHejPsJW5zbJwrQ,[],[]
History Hit,Attila The Hun,"Known to the Romans as the 'Scourge of God', Attila the Hun brought chaos to the world around him. He and his armies plundered, pillaged and looted their way across vast swathes of Europe, ultimately contributing to the fall of the Western Roman Empire. So who was Attila, what made him so successful, and was his success built on more than just bloodshed? In the first episode of this two-part series on nomadic conquerors, we're diving into the world of Attila the Hun. To talk us through his life, Dan is joined by Professor Kenneth W. Harl, an expert in ancient history. Tune in tomorrow to hear the second episode in this series, on the famed conqueror from the Central Asian steppes, Genghis Khan. Produced by James Hickmann and edited by Dougal Patmore. PLEASE VOTE NOW! for Dan Snow's History Hit in the British Podcast Awards Listener's Choice category here . Every vote counts, thank you! Discover the past on History Hit with ad-free original podcasts and documentaries released weekly presented by world renowned historians like Dan Snow, Suzannah Lipscomb, Lucy Worsley, Matt Lewis, Tristan Hughes and more. Get 50% off your first 3 months with code DANSNOW. Download the app or sign up here. If you want to get in touch with the podcast, you can email us at ds.hh@historyhit.com , we'd love to hear from you! You can take part in our listener survey here . Hosted on Acast. See acast.com/privacy for more information.",30,07/08/2023,https://assets.pippa.io/shows/6215f67d4b795a40fffd3b2c/1667286484069-7fc0af1db619130dc8ff794c866b6fa8.jpeg,https://sphinx.acast.com/p/acast/s/dansnowshistoryhit/e/64d0b3d72c5bd600128bae5e/media.mp3?tk=eyJ0ayI6ImRlZmF1bHQiLCJhZHMiOnRydWUsInNwb25zIjp0cnVlLCJzdGF0dXMiOiJwdWJsaWMifQ==&sig=_wZq_ksG276hAToAL1OKjmTV7VDYPnAq6hMvYbKG5gE,[],[]
History Hit,Good King Wenceslaus,"Who was the real good King Wenceslas? The Duke of Bohemia who was made famous by the Christmas carol was also a pivotal figure of European history. He was the first modern Christian Czech ruler who brought the region into being and established it within a developing Europe. He is revered as an Arthurian figure in the Czech Republic today and his importance and reputation extend far beyond the Christmas carol. Dan is joined by Dr Eleanor Janega, a University lecturer and History Hit favourite. She is a lover of Czech and Bohemian history. We are very excited to be welcoming Eleanor to the History Hit family! She is joining Matt Lewis over on the Gone Medieval podcast as his new co-host from August 1st Produced by James Hickmann and edited by Dougal Patmore. PLEASE VOTE NOW! for Dan Snow's History Hit in the British Podcast Awards Listener's Choice category here . Every vote counts, thank you! Discover the past on History Hit with ad-free original podcasts and documentaries released weekly presented by world-renowned historians like Dan Snow, Suzannah Lipscomb, Lucy Worsley, Matt Lewis, Tristan Hughes and more. Get 50% off your first 3 months with code DANSNOW. Download the app or sign up here. If you want to get in touch with the podcast, you can email us at ds.hh@historyhit.com , we'd love to hear from you! You can take part in our listener survey here . Hosted on Acast. See acast.com/privacy for more information.",34,31/07/2023,https://assets.pippa.io/shows/6215f67d4b795a40fffd3b2c/1667286484069-7fc0af1db619130dc8ff794c866b6fa8.jpeg,https://sphinx.acast.com/p/acast/s/dansnowshistoryhit/e/64c3dbb18ad4d4001140d48b/media.mp3?tk=eyJ0ayI6ImRlZmF1bHQiLCJhZHMiOnRydWUsInNwb25zIjp0cnVlLCJzdGF0dXMiOiJwdWJsaWMifQ==&sig=dwUC5CqajYrubrrisTgVrHdQ6HqG2bY3w91nGf0VV5k,[],[]
History Hit,North vs South: How Korea Was Divided,"The divided Korean peninsula is the last remnant of the Cold War: South Korea is a vibrant democracy, a strong market economy, and home to a world-renowned culture. North Korea is ruled by the most authoritarian regime in the world, plagued by famine and poverty, best known for its nuclear weapons. These two countries are diametrically opposed but also intrinsically connected by their long shared ethnic history. How was this country split by the great powers after the Japanese occupation and how did they take such divergent paths? An armistice to the bloody fighting of the Korean War was drawn 70 years ago - it was a call for peace not an ending. As such, the Koreas are still technically at war with each other. To untangle the intricate and fascinating history of the relationship and divide between North and South Korea, Dan is joined by Dr Ramon Pacheco Pardo- Professor of International Relations at Kings College London and Dr Victor Cha, Professor of Government at Georgetown University. Their book is 'Korea: A New History of South and North'  Produced by Mariana Des Forges and edited by Dougal Patmore. PLEASE VOTE NOW! for Dan Snow's History Hit in the British Podcast Awards Listener's Choice category here . Every vote counts, thank you! Discover the past on History Hit with ad-free original podcasts and documentaries released weekly presented by world renowned historians like Dan Snow, Suzannah Lipscomb, Lucy Worsely, Matt Lewis, Tristan Hughes and more. Get 50% off your first 3 months with code DANSNOW. Download the app or sign up here. If you want to get in touch with the podcast, you can email us at ds.hh@historyhit.com , we'd love to hear from you! You can take part in our listener survey here . Hosted on Acast. See acast.com/privacy for more information.",37,30/07/2023,https://assets.pippa.io/shows/6215f67d4b795a40fffd3b2c/1667286484069-7fc0af1db619130dc8ff794c866b6fa8.jpeg,https://sphinx.acast.com/p/acast/s/dansnowshistoryhit/e/64c36cd08577ee001187de63/media.mp3?tk=eyJ0ayI6ImRlZmF1bHQiLCJhZHMiOnRydWUsInNwb25zIjp0cnVlLCJzdGF0dXMiOiJwdWJsaWMifQ==&sig=_2CsQqmobBLC9m9Qp-Ou5VoiIkf7UOdMyWvctwMmEcI,[],[]
History Hit,Oppenheimer: What If America Never Dropped the Atomic Bomb?,"The new Oppenheimer movie has everyone asking questions about the atomic bombs dropped on Japan in 1945 - were two bombs necessary? Would the war have ended without it? Was there an ulterior motive? Would the Americans have dropped a third if they had it? At the end of WWII, the Manhattan Project demonstrated the power humanity had harnessed for destruction. When the uranium bomb was dropped on Hiroshima on the 6th of August 1945, city residents saw a flash of light and a loud boom- virtually everything within a 2-mile radius was destroyed. Those who survived the initial impact were then caught in subsequent firestorms and after that, many succumbed to radiation poisoning. It's estimated 1 in 3 were killed. 3 days later, Nagasaki suffered the same fate. At the time, it was said it was necessary to end the war and to show why these weapons should never be used again. But is that true? To answer some of the questions we've all been asking after learning about Oppenheimer, Dan is joined by Professor Paul Poast from the Department of Political Science at the University of Chicago who explains how the decision was really made to drop the bombs, what would have happened if they hadn't and reveals that the Manhattan Project was actually more about impressing Stalin than destroying Japan. Produced by Mariana Des Forges and edited by Dougal Patmore. Discover the past on History Hit with ad-free original podcasts and documentaries released weekly presented by world-renowned historians like Dan Snow, Suzannah Lipscomb, Lucy Worsley, Matt Lewis, Tristan Hughes and more. Get 50% off your first 3 months with code DANSNOW . Download the app or sign up here. PLEASE VOTE NOW! for Dan Snow's History Hit in the British Podcast Awards Listener's Choice category here . Every vote counts, thank you! We'd love to hear from you- what do you want to hear an episode on? You can email the podcast at ds.hh@historyhit.com . You can take part in our listener survey here . Hosted on Acast. See acast.com/privacy for more information.",43,26/07/2023,https://assets.pippa.io/shows/6215f67d4b795a40fffd3b2c/1667286484069-7fc0af1db619130dc8ff794c866b6fa8.jpeg,https://sphinx.acast.com/p/acast/s/dansnowshistoryhit/e/64bff9168e16bd00111e5308/media.mp3?tk=eyJ0ayI6ImRlZmF1bHQiLCJhZHMiOnRydWUsInNwb25zIjp0cnVlLCJzdGF0dXMiOiJwdWJsaWMifQ==&sig=VIIxszwhc5Zs0lu0vZWFLE-w5wtVSASMXxMDx5doNng,[],[]
